iter	Passed	Remaining
0	10	10379
1	19	9700
2	29	9692
3	37	9381
4	46	9236
5	55	9142
6	64	9160
7	75	9404
8	85	9377
9	94	9333
10	103	9307
11	112	9254
12	121	9188
13	129	9139
14	139	9156
15	148	9113
16	156	9076
17	166	9068
18	175	9056
19	184	9031
20	194	9050
21	203	9044
22	213	9050
23	221	9025
24	230	8999
25	241	9032
26	256	9226
27	266	9236
28	277	9287
29	289	9348
30	299	9351
31	311	9413
32	320	9397
33	330	9385
34	340	9380
35	349	9353
36	358	9337
37	367	9307
38	376	9286
39	386	9277
40	396	9272
41	406	9270
42	415	9250
43	424	9220
44	434	9214
45	444	9227
46	455	9235
47	464	9207
48	473	9195
49	482	9173
50	491	9148
51	501	9139
52	512	9163
53	524	9181
54	534	9177
55	544	9172
56	553	9150
57	562	9142
58	572	9124
59	581	9109
60	590	9091
61	599	9065
62	608	9046
63	617	9029
64	626	9014
65	635	8995
66	644	8980
67	653	8961
68	662	8938
69	671	8919
70	680	8899
71	688	8878
72	697	8854
73	706	8839
74	714	8815
75	723	8795
76	732	8776
77	741	8763
78	750	8747
79	758	8727
80	767	8713
81	776	8693
82	785	8674
83	794	8660
84	803	8645
85	811	8629
86	820	8609
87	829	8599
88	838	8582
89	847	8564
90	855	8548
91	864	8536
92	873	8520
93	881	8500
94	892	8500
95	902	8495
96	912	8493
97	921	8480
98	931	8475
99	940	8464
100	949	8450
101	958	8442
102	967	8428
103	976	8414
104	984	8395
105	994	8383
106	1002	8366
107	1011	8354
108	1021	8349
109	1030	8334
110	1038	8320
111	1048	8310
112	1056	8295
113	1065	8281
114	1077	8289
115	1088	8292
116	1097	8283
117	1106	8267
118	1115	8256
119	1124	8246
120	1133	8236
121	1142	8220
122	1151	8210
123	1160	8197
124	1168	8182
125	1177	8167
126	1186	8154
127	1195	8141
128	1203	8127
129	1212	8117
130	1221	8101
131	1229	8088
132	1238	8074
133	1248	8066
134	1258	8063
135	1267	8053
136	1276	8038
137	1284	8024
138	1293	8011
139	1302	8001
140	1311	7989
141	1319	7975
142	1328	7964
143	1337	7949
144	1346	7936
145	1354	7924
146	1364	7915
147	1372	7903
148	1384	7905
149	1392	7892
150	1401	7879
151	1410	7867
152	1419	7856
153	1428	7846
154	1437	7835
155	1447	7829
156	1456	7820
157	1465	7810
158	1474	7799
159	1483	7790
160	1494	7790
161	1504	7782
162	1515	7779
163	1524	7772
164	1534	7765
165	1543	7754
166	1553	7746
167	1562	7737
168	1571	7729
169	1581	7719
170	1590	7711
171	1599	7702
172	1611	7701
173	1620	7690
174	1630	7685
175	1639	7673
176	1647	7662
177	1657	7655
178	1667	7646
179	1676	7638
180	1686	7632
181	1695	7620
182	1705	7614
183	1714	7605
184	1724	7595
185	1734	7588
186	1743	7578
187	1751	7566
188	1761	7559
189	1770	7549
190	1780	7543
191	1790	7533
192	1799	7524
193	1809	7517
194	1818	7507
195	1828	7499
196	1837	7489
197	1846	7478
198	1856	7470
199	1865	7463
200	1875	7454
201	1885	7447
202	1894	7436
203	1905	7433
204	1914	7423
205	1923	7414
206	1933	7405
207	1942	7395
208	1952	7387
209	1961	7378
210	1970	7368
211	1980	7362
212	1990	7352
213	1999	7344
214	2009	7337
215	2018	7326
216	2028	7320
217	2037	7310
218	2047	7302
219	2057	7294
220	2066	7285
221	2076	7276
222	2085	7267
223	2095	7260
224	2105	7251
225	2114	7241
226	2124	7233
227	2133	7223
228	2142	7212
229	2152	7204
230	2161	7195
231	2171	7187
232	2180	7178
233	2189	7168
234	2199	7161
235	2208	7150
236	2217	7139
237	2227	7130
238	2236	7120
239	2245	7109
240	2255	7102
241	2264	7092
242	2274	7084
243	2283	7074
244	2292	7065
245	2303	7059
246	2312	7050
247	2322	7043
248	2332	7033
249	2341	7025
250	2351	7017
251	2361	7008
252	2371	7001
253	2380	6992
254	2390	6984
255	2400	6975
256	2409	6966
257	2418	6956
258	2427	6946
259	2437	6937
260	2446	6927
261	2456	6920
262	2467	6913
263	2475	6902
264	2486	6897
265	2496	6888
266	2506	6881
267	2516	6872
268	2525	6861
269	2535	6854
270	2544	6844
271	2553	6835
272	2563	6827
273	2573	6818
274	2583	6810
275	2592	6801
276	2602	6793
277	2611	6783
278	2621	6774
279	2632	6769
280	2642	6761
281	2652	6753
282	2662	6745
283	2672	6737
284	2681	6727
285	2691	6718
286	2701	6712
287	2712	6705
288	2722	6696
289	2732	6690
290	2742	6681
291	2751	6672
292	2762	6665
293	2772	6657
294	2782	6650
295	2792	6640
296	2802	6633
297	2812	6625
298	2822	6617
299	2832	6608
300	2842	6600
301	2851	6590
302	2861	6581
303	2871	6573
304	2879	6562
305	2889	6552
306	2899	6544
307	2908	6534
308	2918	6526
309	2928	6517
310	2937	6508
311	2947	6499
312	2957	6490
313	2967	6482
314	2976	6473
315	2986	6464
316	2996	6455
317	3006	6447
318	3016	6438
319	3025	6429
320	3035	6421
321	3045	6411
322	3055	6403
323	3064	6394
324	3074	6385
325	3084	6377
326	3094	6368
327	3104	6359
328	3113	6350
329	3123	6342
330	3133	6333
331	3144	6326
332	3153	6316
333	3162	6306
334	3173	6299
335	3182	6289
336	3193	6282
337	3202	6272
338	3212	6263
339	3221	6254
340	3231	6244
341	3241	6236
342	3250	6226
343	3259	6216
344	3269	6207
345	3279	6198
346	3289	6190
347	3299	6181
348	3309	6172
349	3318	6163
350	3328	6155
351	3338	6146
352	3348	6138
353	3358	6128
354	3367	6118
355	3377	6110
356	3386	6100
357	3396	6090
358	3406	6081
359	3416	6074
360	3427	6067
361	3437	6057
362	3447	6049
363	3456	6039
364	3467	6032
365	3476	6022
366	3486	6013
367	3496	6004
368	3506	5995
369	3516	5986
370	3528	5982
371	3538	5972
372	3547	5963
373	3557	5955
374	3568	5948
375	3578	5938
376	3587	5928
377	3597	5920
378	3606	5909
379	3616	5901
380	3626	5891
381	3636	5882
382	3646	5874
383	3656	5865
384	3666	5857
385	3676	5847
386	3686	5839
387	3696	5830
388	3707	5822
389	3716	5813
390	3727	5805
391	3737	5796
392	3747	5787
393	3757	5779
394	3767	5770
395	3777	5761
396	3787	5752
397	3798	5744
398	3808	5735
399	3818	5727
400	3828	5719
